,屋外温度,屋外温度,屋外温度,屋外温度,屋外温度,屋外湿度,屋外湿度,屋外湿度,屋外湿度,屋外湿度,風速,風速,風速,風速,風速,風向,風向,風向,風向,風向,屋外日射,屋外日射,屋外日射,屋外日射,屋外日射,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,絶対湿度,絶対湿度,絶対湿度,絶対湿度,絶対湿度,屋外露点温度,屋外露点温度,屋外露点温度,屋外露点温度,屋外露点温度,屋外飽差,屋外飽差,屋外飽差,屋外飽差,屋外飽差,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）
2020/7/1 0:40,25.4,25.4,25.3,25.311,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1250,1259,1250,1258.148,9,20.6,20.6,20.4,20.422,0.2,25.4,25.4,25.3,25.311,0.1,0,0,0,0,0,100.5,101,100.4,100.807,0.6,0.384,0.388,0.383,0.384,0.005
2020/7/1 0:45,25.5,25.5,25.3,25.448,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1250,1250,1248,1248.667,2,20.7,20.7,20.4,20.644,0.3,25.5,25.5,25.3,25.448,0.2,0,0,0,0,0,100.5,101,99.9,100.211,1.1,0.387,0.388,0.383,0.384,0.005
2020/7/1 0:50,25.4,25.5,25.3,25.407,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1250,1256,1248,1249.296,8,20.6,20.7,20.4,20.593,0.3,25.4,25.5,25.3,25.404,0.2,0,0,0,0,0,100.4,100.5,100.4,100.433,0.1,0.387,0.388,0.383,0.384,0.005
2020/7/1 0:55,25.3,25.4,25.3,25.337,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1259,1248,1250.741,11,20.4,20.6,20.4,20.467,0.2,25.4,25.4,25.3,25.333,0.1,0,0,0,0,0,100.8,101.1,100.4,100.741,0.7,0.388,0.389,0.383,0.384,0.006
2020/7/1 1:00,25.3,25.4,25.2,25.267,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1270,1251,1259.444,19,20.4,20.6,20.3,20.374,0.3,25.3,25.4,25.2,25.27,0.2,0,0,0,0,0,101.4,101.5,100.8,101.1,0.7,0.387,0.389,0.383,0.384,0.006
2020/7/1 1:05,25.2,25.3,25.2,25.263,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1270,1258,1264.63,12,20.3,20.4,20.3,20.359,0.1,25.2,25.3,25.2,25.259,0.1,0,0,0,0,0,101.4,101.5,100.9,101.337,0.6,0.384,0.389,0.383,0.384,0.006
2020/7/1 1:10,25.3,25.4,25.2,25.293,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1269,1258,1259.333,11,20.4,20.6,20.3,20.407,0.3,25.3,25.4,25.2,25.3,0.2,0,0,0,0,0,100.5,101.4,100.4,100.867,1,0.384,0.388,0.383,0.384,0.005
2020/7/1 1:15,25.3,25.4,25.3,25.341,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1259,1248,1256.444,11,20.4,20.6,20.4,20.489,0.2,25.3,25.4,25.3,25.344,0.1,0,0,0,0,0,100.4,100.7,100.4,100.441,0.3,0.385,0.389,0.383,0.384,0.006
2020/7/1 1:20,25.5,25.5,25.3,25.426,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1248,1259,1242,1249.481,17,20.7,20.7,20.4,20.611,0.3,25.5,25.5,25.3,25.43,0.2,0,0,0,0,0,99.9,100.5,99.9,100.07,0.6,0.385,0.388,0.383,0.384,0.005
2020/7/1 1:25,25.5,25.5,25.5,25.5,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1248,1250,1248,1248.37,2,20.7,20.7,20.7,20.7,0,25.5,25.5,25.5,25.5,0,0,0,0,0,0,99.9,100,99.8,99.9,0.2,0.385,0.389,0.383,0.384,0.006
2020/7/1 1:30,25.4,25.5,25.3,25.433,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1259,1248,1249.556,11,20.6,20.7,20.4,20.611,0.3,25.4,25.5,25.3,25.433,0.2,0,0,0,0,0,100.9,101,99.9,100.226,1.1,0.384,0.389,0.383,0.384,0.006
2020/7/1 1:35,25.3,25.4,25.3,25.331,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1248,1259,1248,1251.423,11,20.4,20.6,20.4,20.462,0.2,25.3,25.4,25.3,25.331,0.1,0,0,0,0,0,100.9,101,100.4,100.669,0.6,0.385,0.389,0.383,0.384,0.006
2020/7/1 1:40,25.2,25.4,25.2,25.27,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1264,1264,1248,1257.296,16,20.3,20.6,20.3,20.374,0.3,25.2,25.4,25.2,25.27,0.2,0,0,0,0,0,101.9,102,100.9,101.267,1.1,0.384,0.389,0.383,0.384,0.006
2020/7/1 1:45,25.2,25.3,25.2,25.25,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1278,1264,1268.115,14,20.3,20.4,20.3,20.35,0.1,25.2,25.3,25.2,25.25,0.1,0,0,0,0,0,101.5,102,101.4,101.677,0.6,0.384,0.389,0.383,0.384,0.006
2020/7/1 1:50,25,25.3,25,25.175,0.3,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1308,1312,1268,1289.286,44,20.1,20.4,20.1,20.275,0.3,25,25.3,25,25.175,0.3,0,0,0,0,0,103,103,101.4,101.943,1.6,0.384,0.389,0.383,0.384,0.006
2020/7/1 1:55,24.9,25,24.9,24.919,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1365,1372,1307,1347.519,65,19.9,20.1,19.9,19.937,0.2,24.9,25,24.9,24.919,0.1,0,0,0,0,0,103.8,104,103,103.552,1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:00,24.8,24.9,24.8,24.865,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1541,1541,1365,1462.692,176,19.8,19.9,19.8,19.865,0.1,24.8,24.9,24.8,24.863,0.1,0,0,0,0,0,104.4,104.4,103.3,103.859,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:05,24.7,24.8,24.7,24.771,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1463,1542,1463,1508.964,79,19.7,19.8,19.7,19.768,0.1,24.6,24.8,24.6,24.733,0.2,0,0,0,0,0,103,104.4,102.9,103.911,1.5,0.384,0.389,0.383,0.384,0.006
2020/7/1 2:10,24.6,24.7,24.6,24.635,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1411,1463,1409,1427.654,54,19.6,19.7,19.6,19.635,0.1,24.5,24.6,24.5,24.535,0.1,0,0,0,0,0,103,104,102.9,103.712,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:15,24.4,24.6,24.4,24.537,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1368,1411,1365,1388.222,46,19.3,19.6,19.3,19.493,0.3,24.3,24.5,24.3,24.437,0.2,0,0,0,0,0,103.3,103.5,102.7,103.1,0.8,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:20,24.4,24.4,24.4,24.4,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1365,1376,1356,1366.963,20,19.3,19.3,19.3,19.3,0,24.3,24.3,24.3,24.3,0,0,0,0,0,0,104.3,104.4,103.3,103.796,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:25,24.3,24.4,24.3,24.344,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1356,1370,1356,1363.63,14,19.2,19.3,19.2,19.244,0.1,24.2,24.3,24.2,24.244,0.1,0,0,0,0,0,105.4,105.4,104.3,105.011,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:30,24.4,24.4,24.3,24.341,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1386,1396,1356,1374.556,40,19.3,19.3,19.2,19.241,0.1,24.3,24.3,24.2,24.241,0.1,0,0,0,0,0,105.9,105.9,105.3,105.73,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:35,24.4,24.4,24.3,24.396,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1414,1417,1386,1407.407,31,19.3,19.3,19.2,19.296,0.1,24.3,24.3,24.2,24.296,0.1,0,0,0,0,0,105.9,106.4,105.8,105.967,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:40,24.3,24.4,24.3,24.348,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1394,1416,1385,1402.667,31,19.2,19.3,19.2,19.248,0.1,24.2,24.3,24.2,24.248,0.1,0,0,0,0,0,105.4,105.9,105.3,105.667,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:45,24.3,24.3,24.3,24.3,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1367,1394,1365,1377.519,29,19.2,19.2,19.2,19.2,0,24.2,24.2,24.2,24.2,0,0,0,0,0,0,104.4,105.4,104.3,105.037,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 2:50,24.2,24.3,24.2,24.27,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1347,1370,1346,1357.333,24,19.1,19.2,19.1,19.17,0.1,24.1,24.2,24.1,24.17,0.1,0,0,0,0,0,104.4,104.9,104.3,104.507,0.6,0.383,0.388,0.383,0.384,0.005
2020/7/1 2:55,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1347,1347,1336,1341.148,11,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,104.4,104.7,104.3,104.396,0.4,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:00,24.1,24.2,24.1,24.2,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1337,1347,1336,1338.519,11,19,19.1,19,19.1,0.1,24,24.1,24,24.1,0.1,0,0,0,0,0,104.9,104.9,104.3,104.796,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:05,24.1,24.1,24,24.096,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1337,1341,1336,1336.926,5,19,19,18.8,18.993,0.2,24,24,23.9,23.996,0.1,0,0,0,0,0,105.4,105.4,104.9,105.267,0.5,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:10,24.1,24.1,24,24.067,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1337,1342,1336,1336.963,6,19,19,18.8,18.941,0.2,24,24,23.9,23.97,0.1,0,0,0,0,0,105.9,105.9,105.3,105.511,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:15,24.1,24.1,24,24.085,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1328,1340,1326,1334.519,14,19,19,18.8,18.97,0.2,24,24,23.9,23.985,0.1,0,0,0,0,0,105.8,105.9,105.3,105.67,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:20,24.2,24.2,24,24.1,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1317,1333,1317,1323.185,16,19.1,19.1,18.8,18.996,0.3,24.1,24.1,23.9,24.004,0.2,0,0,0,0,0,104.8,105.9,104.8,105.693,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:25,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1308,1323,1307,1317.111,16,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,104.4,105.4,104.3,104.874,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:30,24.3,24.3,24.2,24.211,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1297,1313,1297,1304.296,16,19.2,19.2,19.1,19.111,0.1,24.2,24.2,24.1,24.111,0.1,0,0,0,0,0,103.8,104.6,103.8,104.274,0.8,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:35,24.3,24.3,24.2,24.23,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1289,1303,1287,1294.074,16,19.2,19.2,19.1,19.13,0.1,24.2,24.2,24.1,24.13,0.1,0,0,0,0,0,103.8,104.4,103.8,104.03,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 3:40,24.4,24.4,24.3,24.315,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1290,1293,1287,1288.815,6,19.3,19.3,19.2,19.215,0.1,24.3,24.3,24.2,24.215,0.1,0,0,0,0,0,103.5,104,103.3,103.785,0.7,0.386,0.389,0.383,0.384,0.006
2020/7/1 3:45,24.3,24.4,24.3,24.307,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1291,1293,1278,1285.852,15,19.2,19.3,19.2,19.207,0.1,24.2,24.3,24.2,24.207,0.1,0,0,0,0,0,104.8,104.8,103.3,103.993,1.5,0.388,0.389,0.383,0.384,0.006
2020/7/1 3:50,24.2,24.3,24.2,24.219,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1291,1293,1279,1288.074,14,19.1,19.2,19.1,19.119,0.1,24.1,24.2,24.1,24.119,0.1,0,0,0,0,0,105.3,105.4,104.8,104.9,0.6,0.388,0.389,0.383,0.384,0.006
2020/7/1 3:55,24.3,24.3,24.2,24.289,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1292,1293,1287,1288.815,6,19.2,19.2,19.1,19.189,0.1,24.2,24.2,24.1,24.189,0.1,0,0,0,0,0,104.7,105.4,104.7,104.841,0.7,0.387,0.389,0.383,0.384,0.006
2020/7/1 4:00,24.3,24.3,24.3,24.3,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1280,1292,1278,1282.963,14,19.2,19.2,19.2,19.2,0,24.2,24.2,24.2,24.2,0,0,0,0,0,0,104.3,104.7,104.3,104.367,0.4,0.384,0.389,0.383,0.384,0.006
2020/7/1 4:05,24.2,24.3,24.2,24.259,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1280,1268,1269.148,12,19.1,19.2,19.1,19.159,0.1,24.1,24.2,24.1,24.159,0.1,0,0,0,0,0,104.8,104.9,104.3,104.43,0.6,0.384,0.389,0.383,0.384,0.006
2020/7/1 4:10,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1270,1263,1268.185,7,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,104.8,104.9,104.3,104.619,0.6,0.385,0.388,0.383,0.384,0.005
2020/7/1 4:15,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1279,1284,1268,1272.926,16,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,104.8,104.9,104.8,104.83,0.1,0.385,0.389,0.383,0.384,0.006
2020/7/1 4:20,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1269,1284,1269,1278.889,15,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,104.8,104.9,104.8,104.841,0.1,0.386,0.389,0.383,0.384,0.006
2020/7/1 4:25,24.3,24.3,24.2,24.215,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1269,1282,1268,1271.185,14,19.2,19.2,19.1,19.115,0.1,24.2,24.2,24.1,24.115,0.1,0,0,0,0,0,103.7,104.9,103.7,104.522,1.2,0.384,0.389,0.383,0.384,0.006
2020/7/1 4:30,24.3,24.3,24.3,24.3,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1270,1258,1266.815,12,19.2,19.2,19.2,19.2,0,24.2,24.2,24.2,24.2,0,0,0,0,0,0,103.1,103.7,103.1,103.374,0.6,0.384,0.389,0.383,0.384,0.006
2020/7/1 4:35,24.2,24.3,24.2,24.252,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.38,0.01,1251,1260,1250,1258.074,10,19.1,19.2,19.1,19.152,0.1,24.1,24.2,24.1,24.152,0.1,0,0,0,0,0,102.7,103.2,102.7,102.978,0.5,0.385,0.39,0.384,0.385,0.006
2020/7/1 4:40,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.381,0.01,1248,1257,1248,1249.185,9,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,101.9,102.7,101.9,102.233,0.8,0.386,0.39,0.384,0.386,0.006
2020/7/1 4:45,24.2,24.2,24.2,24.2,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.38,0.01,1248,1251,1248,1248.741,3,19.1,19.1,19.1,19.1,0,24.1,24.1,24.1,24.1,0,0,0,0,0,0,100.9,102,100.9,101.622,1.1,0.386,0.391,0.386,0.386,0.005
2020/7/1 4:50,24.3,24.3,24.2,24.256,0.1,99,100,99,99.741,1,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.38,0.01,1239,1250,1239,1242.926,11,19,19.2,19,19.104,0.2,24.1,24.2,24.1,24.13,0.1,0.1,0.1,0,0.026,0.1,98.6,101,98.5,100.041,2.5,0.386,0.391,0.386,0.387,0.005
2020/7/1 4:55,24.4,24.4,24.3,24.356,0.1,97,99,97,98.519,2,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.381,0.01,1240,1240,1239,1239.185,1,18.7,19.1,18.7,18.959,0.4,23.8,24.2,23.8,24.059,0.4,0.5,0.5,0.1,0.196,0.4,97.4,99.1,97.4,98.307,1.7,0.388,0.393,0.386,0.387,0.007
2020/7/1 5:00,24.4,24.5,24.4,24.422,0.1,97,98,97,97.259,1,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.38,0.383,0.01,1229,1240,1229,1237.296,11,18.7,18.9,18.7,18.796,0.2,23.8,24,23.8,23.874,0.2,0.5,0.5,0.3,0.448,0.2,96.9,97.7,96.5,97.081,1.2,0.389,0.394,0.388,0.389,0.006
2020/7/1 5:05,24.5,24.5,24.4,24.489,0.1,95,97,95,95.852,2,0,0,0,0,0,0,0,0,0,0,0.39,0.39,0.38,0.389,0.01,1219,1230,1219,1223.259,11,18.5,18.7,18.5,18.648,0.2,23.6,23.8,23.6,23.748,0.2,0.9,0.9,0.5,0.73,0.4,95.3,96.9,95,95.681,1.9,0.391,0.396,0.389,0.391,0.007
2020/7/1 5:10,24.5,24.5,24.4,24.467,0.1,94,96,94,95.333,2,0,0,0,0,0,0,0,0,0,0,0.39,0.39,0.39,0.39,0,1219,1220,1219,1219.37,1,18.3,18.7,18.3,18.5,0.4,23.4,23.8,23.4,23.633,0.4,1.1,1.1,0.7,0.833,0.4,94.1,95.7,94.1,95.078,1.6,0.393,0.397,0.391,0.392,0.006
2020/7/1 5:15,24.5,24.6,24.4,24.511,0.2,94,96,94,94.333,2,0,0,0,0,0,0,0,0,0,0,0.39,0.4,0.39,0.39,0.01,1209,1220,1209,1213.074,11,18.3,18.5,18.3,18.374,0.2,23.4,23.7,23.4,23.478,0.3,1.1,1.1,0.7,1.033,0.4,93.6,95.5,93.6,94.23,1.9,0.396,0.4,0.393,0.396,0.007
2020/7/1 5:20,24.6,24.6,24.5,24.563,0.1,93,94,93,93.481,1,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.39,0.396,0.01,1199,1212,1199,1204.481,13,18.2,18.4,18.1,18.259,0.3,23.3,23.5,23.2,23.359,0.3,1.3,1.3,1.1,1.204,0.2,92.6,94.2,92.5,93.296,1.7,0.401,0.404,0.396,0.4,0.008
2020/7/1 5:25,24.5,24.7,24.5,24.607,0.2,93,93,92,92.741,1,0,0,0,0,0,0,0,0,0,0,0.41,0.41,0.4,0.403,0.01,1199,1202,1199,1199.667,3,18.1,18.3,18,18.156,0.3,23.2,23.4,23.2,23.281,0.2,1.3,1.5,1.3,1.352,0.2,93.1,93.2,91.6,92.63,1.6,0.41,0.412,0.401,0.407,0.011
